#SEED: 0.8904024392832071,,,,
SAT0,-40.1122378419,-169.3555453625,653.9686935385,
SAT1,35.2950693486,-92.7416441711,678.4931927534,
SAT2,-49.031523938,146.3361760394,542.5868840399,
SAT3,-11.3937254056,-37.040531618,505.3298400002,
SAT4,9.7920940588,-45.0109692593,538.3605474998,
SAT5,-49.5266899953,41.0933672039,695.877111813,
SAT6,-34.0220422159,98.1609474425,426.6342547448,
SAT7,87.3794734499,-139.9700096693,698.2305976903,
SAT8,85.2146314231,31.7346940298,540.9019340164,
SAT9,-15.1197685486,-48.2444696804,672.7354992348,
SAT10,-62.2339219856,-40.5278516892,422.4276217244,
SAT11,-62.4041402755,-44.7184603682,517.6681138141,
SAT12,60.1187717202,63.5508666758,332.9213154182,
SAT13,-81.6460062562,96.6188577491,590.620592689,
SAT14,50.4842940876,-42.0882768715,362.3264331819,
SAT15,-80.550411561,141.0686078474,302.1638383356,
SAT16,-69.6560982651,178.7948969825,499.5042752969,
SAT17,-85.4560418794,126.4417298082,690.1925240817,
SAT18,-65.2521317124,-168.7968552492,319.8966045554,
SAT19,10.9691512569,101.5968404098,439.4013562845,
ROUTE,80.8324587726,-75.3088910615,-46.1834138049,86.2964737964
