#SEED: 0.2870806611608714,,,,
SAT0,-72.8873912214,88.3718995742,357.7270839424,
SAT1,-61.5517914514,-5.2024937715,550.3065489324,
SAT2,-40.4756156589,-96.3456678998,356.2644343739,
SAT3,-29.2364922594,131.4125359961,440.2511614295,
SAT4,-73.4148683216,-72.8279939036,407.3475655184,
SAT5,53.8702339378,-19.7250823884,579.4188734783,
SAT6,-28.1115018089,44.4133625696,678.9061048441,
SAT7,41.8541711132,-162.7455085845,621.3134570737,
SAT8,22.6343551325,-45.8150141377,423.7243669306,
SAT9,-4.4971145758,30.6263266045,580.6365972545,
SAT10,42.7095512086,-78.4354238981,410.3151144651,
SAT11,39.3894852938,114.1621912275,424.9717160822,
SAT12,-14.92287054,-129.6140791328,528.1994774237,
SAT13,50.2826249364,-148.6630515315,667.9730765836,
SAT14,15.4512256307,-111.3528503197,668.3063334223,
SAT15,-4.6531482251,71.8804549838,338.9641279066,
SAT16,41.1118200364,96.7048811661,647.443496343,
SAT17,-67.422811059,56.7747242372,644.3596801468,
SAT18,-82.9234165375,38.6237482425,501.2158691511,
SAT19,-3.1118952151,-65.5832767976,378.5792354737,
ROUTE,5.7141564546,-111.9454465195,-84.9468194454,137.2415028771
