#SEED: 0.607152424287051,,,,
SAT0,5.0060423019,156.6119941625,399.0804096156,
SAT1,-79.9223250519,54.9913683788,685.2816491571,
SAT2,-65.0884729909,-38.7598930073,428.0068056795,
SAT3,-42.5847289069,73.261198694,558.0920345822,
SAT4,47.719258812,-29.7587389096,447.2469106515,
SAT5,68.5248449528,-106.717374912,677.8745615971,
SAT6,51.0794292501,-155.6474213207,480.3427062065,
SAT7,29.6434381352,-119.3126198502,364.1500306911,
SAT8,59.0240298825,-124.7855644266,371.916703703,
SAT9,7.8171890999,51.301946886,686.2530260163,
SAT10,0.3130366387,-38.6529097568,625.1288325806,
SAT11,59.1318443895,8.5527456844,483.2199276012,
SAT12,58.0147680408,-16.7823537207,693.6428167049,
SAT13,-64.7518631721,-151.0726018733,476.2626691822,
SAT14,1.9450939652,169.5304369793,532.9741483701,
SAT15,13.8196805701,-57.6560693905,573.0992438588,
SAT16,-35.9157243627,-67.9892523308,643.0152715144,
SAT17,17.4823883805,-70.134294907,382.1285618762,
SAT18,56.8971336538,-76.1952515295,398.8360094482,
SAT19,86.9244922619,-12.0933006847,487.1994813652,
ROUTE,-84.454636204,-131.6252977543,44.7451887523,-161.0299557758
